,# nans 2010,% nans 2010,# nans 2012,% nans 2012,# nans 2014,% nans 2014,# nans 2016,% nans 2016,# nans 2018,% nans 2018,# nans 2020,% nans 2020,# nans 2022,% nans 2022,# nans 2024,% nans 2024
TKM,16,45.71,18,51.43,19,50.0,18,43.9,20,46.51,18,46.15,19,47.5,4,26.67
TLS,13,37.14,13,37.14,16,42.11,17,41.46,17,39.53,13,33.33,14,35.0,1,6.67
TON,10,28.57,4,11.43,5,13.16,8,19.51,7,16.28,3,7.69,6,15.0,4,26.67
TTO,3,8.57,3,8.57,5,13.16,1,2.44,3,6.98,3,7.69,2,5.0,0,0.0
TUN,6,17.14,6,17.14,8,21.05,9,21.95,10,23.26,10,25.64,12,30.0,4,26.67
TUR,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,0,0.0,3,20.0
TUV,19,54.29,19,54.29,22,57.89,23,56.1,26,60.47,22,56.41,19,47.5,5,33.33
TZA,0,0.0,0,0.0,0,0.0,1,2.44,3,6.98,2,5.13,3,7.5,0,0.0
UGA,0,0.0,2,5.71,2,5.26,1,2.44,2,4.65,1,2.56,6,15.0,3,20.0
UKR,1,2.86,0,0.0,0,0.0,0,0.0,2,4.65,0,0.0,5,12.5,1,6.67
URY,6,17.14,6,17.14,6,15.79,0,0.0,1,2.33,1,2.56,1,2.5,0,0.0
USA,3,8.57,3,8.57,3,7.89,4,9.76,5,11.63,4,10.26,5,12.5,3,20.0
UZB,5,14.29,3,8.57,4,10.53,4,9.76,1,2.33,0,0.0,1,2.5,0,0.0
VCT,10,28.57,11,31.43,14,36.84,5,12.2,8,18.6,5,12.82,8,20.0,4,26.67
VEN,11,31.43,12,34.29,15,39.47,16,39.02,19,44.19,18,46.15,17,42.5,5,33.33
VNM,2,5.71,2,5.71,2,5.26,3,7.32,4,9.3,3,7.69,6,15.0,2,13.33
VUT,6,17.14,8,22.86,11,28.95,8,19.51,16,37.21,12,30.77,17,42.5,5,33.33
WSM,10,28.57,10,28.57,13,34.21,5,12.2,6,13.95,6,15.38,6,15.0,0,0.0
YEM,7,20.0,7,20.0,9,23.68,16,39.02,16,37.21,18,46.15,17,42.5,8,53.33
ZAF,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,7,17.5,0,0.0
ZMB,0,0.0,2,5.71,1,2.63,1,2.44,0,0.0,0,0.0,5,12.5,0,0.0
ZWE,8,22.86,6,17.14,8,21.05,8,19.51,9,20.93,10,25.64,8,20.0,3,20.0
