Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKNL - Non-performing loans net of provisions to capital (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
BRA,0.04380635917186741,3.10772417173934,10.2993783970849,3.3667163732257084,13.666960935778102,55.87967450814569,-0.08686254918575281,12.590146869358,1.01,9.33,2.03315744678591,3.4199999999999995,2.37,11.0,36.3889698351794,36.1548449464861,51.651742882670604,18.345059764472,58.7493691823821,5.0,6.0,0.24661986529827118,0.05641443654894813,57.61292197027811,5.80365285108336,18114.9126269372,50.0,75.35625,0.571348905563354
BRB,1.4767557382583603,5.328954244299704,6.923280747883925,31.211218601803953,12.226012910701106,71.8040568325551,1.40638220310211,5.643710636647032,1.51,6.13,2.48399488620169,3.4644028196481855,3.0253589879363916,11.0,39.1764337752068,38.110802973636,72.2859386607825,1.18069825141163,82.4926076628422,6.000000000000001,5.0,0.5056514143943789,1.0745384693145803,76.3903823441273,-0.9049836828962154,44317.0068728436,40.0,57.45,1.1365772485732997
BRN,0.8577785491943362,6.86702975926534,9.158632295276602,9.411241216119361,21.093012585272,34.1259629049035,0.8966951966285708,27.026437040267897,0.41,5.0,7.767253068282993,3.0029991052041565,3.110904913608649,12.0,82.7426745847883,3.31993244448281,78.2172579938894,16.1965517036092,58.1149054196029,6.000000000000001,6.0,1.1081427335739096,0.773040950298309,32.5030436816898,4.499911339117871,30209.174454587403,20.0,33.80625,-0.6505706310272221
BTN,0.9383821487426762,5.21442892752606,8.09100803539073,4.83641563333298,13.9038178433061,37.6959737617667,0.6090695261955262,0.137310610162976,11.35,2.49,0.922198481323637,2.54,2.14,13.0,28.169661014570146,19.683822965170076,12.541375444545801,0.0318665250474413,16.8735418764449,7.0,6.0,-1.15894365310669,0.16185925900936096,43.0053074381572,11.487809930359399,6501.54212021861,40.0,67.46875,-0.416917324066162
BWA,1.00335109233856,6.405252451186139,7.736972323280766,21.00543946106564,13.708749369304252,53.4106721527633,0.3883495926856992,2.035595442592827,0.26,3.17,3.3795413782419494,2.59,2.09,13.0,4.17154006780264,24.8884694165491,78.8516730051414,1.7466531829045597,20.8227215520704,7.0,6.0,0.578393816947937,0.5969305038452151,54.7364972019634,5.7108349276261405,14136.388300288701,50.0,56.85,0.45553338527679393
CAF,-0.937605500221252,12.638013591562,10.3844713841228,2.428091146806131,16.4935664120572,37.0832313547413,-1.39312899112701,22.6292713819246,0.19,7.67,10.208246515924019,2.2271343237488437,1.9907732275320493,12.0,8.29192482038235,9.2459911293074,86.9675491779617,8.3669956255626,55.7013866979437,6.000000000000001,6.0,-1.162961602211,-1.31199896335602,29.3293728575983,9.1038920937022,2084.33182902753,20.0,47.26875,-1.10421741008759
CAN,2.06187319755554,1.19245724160614,4.76631113956,8.568318928785088,13.105539605591202,61.6472418205184,1.7778267860412598,15.5005412945327,2.76,8.43,10.944098730183601,4.01,3.7099999999999995,12.0,55.72266175552169,35.7327847602883,90.78139037641569,4.2163521561704,73.0834416541854,6.000000000000001,6.0,1.6934303045272798,1.7985904216766402,65.7334191252823,2.5397565038097305,69093.7659520219,60.0,49.7,1.35265874862671
CHE,2.06414246559143,0.84498358262328,5.45144361430648,5.925060906471979,15.3510941847909,62.6782029902162,1.8709591627121,25.8090118685212,1.6430038192,5.8754976257,10.0338312643621,4.27,3.73,13.0,69.5010383530484,61.3151372351075,86.5192323735703,5.07063947389357,89.5260308441117,6.000000000000001,7.0,1.62086713314056,1.7497949600219695,71.039676798755,2.2491300803609406,144092.347971163,60.0,60.59375,1.58491122722626
CHL,1.4416269063949598,2.64236372125984,7.83995415608633,1.0969013631798998,10.1247578019847,79.9879216055672,1.15724182128906,6.23958186648753,0.39,7.8,2.80551052741032,3.33,2.93,12.0,11.7990987265078,20.320236116910102,52.6223405948353,26.256159626921,48.9991637055208,6.000000000000001,6.0,1.41517114639282,1.22541570663452,53.8127811770917,7.103510424273818,22429.1749943039,60.0,70.24375,1.09564626216888
CHN,-0.570009887218475,1.13237045139299,7.343019788812058,-2.1501823017543304,10.076887279025101,68.8024695008473,0.0918448567390441,32.1501169663397,29.12,20.4,5.87444082138679,3.55,3.16,12.0,60.5223950504802,41.3830969145511,77.5585971552891,6.9817889488057405,73.2680420052199,6.000000000000001,6.0,-0.32095497846603394,-0.47260186076164185,45.126871988843,9.597929782416,15172.7247897578,50.0,51.65,-1.68054747581482
