Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
BLR,-0.5797314643859861,25.397297195625132,4.90922057569429,2.7048068154395994,14.5050414379472,180.614351449497,-0.8517233729362492,8.18060856614216,0.0,2.562822893764872,13.038410277134922,83.026,2.6,2.6,10.0,36.2665455538382,19.8233073829303,80.1652805688899,6.68974897090845,82.6131086239731,4.0,6.0,-1.33121407032013,-1.22100031375885,65.87803762582516,48.202548763555505,9948.52652518392,100.0,87.1333333333333,83.0625,77.1,95.0,-1.62772846221924
BLZ,-0.23691363632679002,7.01000022888184,4.8899294852009,1.54498881747123,9.04597169366296,47.906726403705505,-0.35668465495109597,0.0001815544521316,0.14,2.6,10.7471787896704,79.04901581617493,2.574597268892252,2.281165675272695,11.0,0.16294929996016097,18.4598161678058,71.5084514545968,0.180484905006494,55.935782172725,6.0,5.0,-0.4387663304805761,-0.7201606631278991,44.3,61.60543701831969,14732.599134827202,80.0,64.8666666666667,63.375,65.975,55.0,0.5353202819824219
BOL,-0.889700353145599,16.893167568269,2.13317781172804,1.05257294723183,6.79552562924604,43.5679817516853,-0.564738214015961,5.51769748718287,0.03,2.49,5.87660882883138,85.209,2.5,2.1,12.0,6.92744544494775,11.941977455076099,32.2968465002494,6.0174486797734,33.9698313663171,6.0,6.0,-1.21053624153137,-1.30140423774719,55.49999999999999,52.858366760857905,5147.977732822299,80.0,66.9333333333333,77.8375,65.35,45.0,-0.19748556613922094
BRA,-0.5663543343544009,18.27505510589788,2.64123318576759,2.0736213979545606,8.76297902031543,194.508617484652,-0.588259339332581,9.11134627987528,0.27,6.13,11.6014480812492,82.262,3.2,2.9,11.0,34.0133014597389,31.338015876017096,45.7908130886118,31.616921741846,56.6006849763528,5.0,6.0,-0.22043763101100905,-0.25787913799285894,66.4,58.0872310746862,17607.4176579911,90.0,87.3333333333333,72.89375,85.175,69.99999999999999,0.22526833415031405
BRB,1.28473830223083,20.066905842869307,5.84432561996588,1.7023405283674797,11.2318558867574,44.693162361928,0.42839428782463124,17.0117393061682,1.1,3.8800000000000003,9.615685025379273,78.576,3.1334624884945086,2.8338302751014703,11.0,26.505863709685,38.110802973636,67.6768492715948,0.36464346835263395,85.935969306214,6.0,5.0,0.4765003025531768,0.359412461519241,21.2,75.7026245842351,38375.8823021092,80.0,57.63333333333329,60.881249999999994,49.9666666666667,55.0,1.1330256462097201
BRN,1.1751925945282,17.57543339854,2.81875346844338,1.4882213522544598,9.73541207560586,88.0672272258901,1.4222829341888399,1.04425960383175,0.03,1.53,2.0643169278479,80.948,3.1396231843260067,3.0046769856482096,12.0,7.1047827196533,3.3199324560496395,61.641216698807106,35.8412568118161,46.4719998429712,6.0,6.0,1.06704342365265,0.9337597489356989,45.3,32.5201826668198,32756.2062048335,80.0,71.0333333333333,51.775,51.5416666666667,50.0,-0.8154675960540769
BTN,1.5147818326950098,8.48408985137939,2.98322457252721,1.2496463722105995,7.78394985760908,60.8336374017722,0.5612937808036799,0.0122179939865199,0.0,0.7708318011782628,5.44482698574031,85.225,2.3,2.7,12.0,0.0374855712953873,6.5452375679785,4.08924561962947,2.1704380863872,3.5912207886540997,7.0,5.0,-0.381970435380936,0.6735727787017821,48.2,51.196794354919,9773.19440867239,70.0,64.0333333333333,68.6,42.975,40.0,0.15762147307395882
BWA,0.6619085073471068,9.52373835350831,3.7521160274772,3.1540399968642805,8.9313721362495,15.6426623382267,0.4394938647747039,0.502381294093243,0.16,2.5,3.48643861013996,78.93,2.9999999999999996,3.0000000000000004,13.0,3.85156910336818,28.6947102280123,67.6970526073593,3.062322923732,15.6622922287567,7.0,6.0,0.6210435628890992,0.45922759175300576,44.8,56.4282614493451,20071.5303627062,50.0,68.9,72.36875,67.75,45.0,0.449784100055695
CAF,-1.24614667892456,1.2462341031018407,14.510900682669,1.50913809884287,14.0259134925082,151.843214386063,-1.71030342578888,37.2974046773952,18.780734755971032,9.045530929936403,9.427367956023101,73.68601057398723,2.4,2.4,12.0,79.6315251967782,9.2459911293074,66.6398437903878,1.84018617366775,35.2350218088222,6.0,6.0,-1.47418415546417,-1.69991219043732,25.3,42.427630000059594,2131.93465696185,50.0,58.63333333333329,62.1375,12.3416666666667,25.0,-1.21400439739227
CAN,1.65857303142548,32.3500860763309,0.342610204744156,1.1767793048798203,4.87403846766279,58.50220252708439,1.5666177272796598,15.1489765380468,1.37,6.75,15.086709749152202,73.447,4.1,4.0,12.0,50.3744679241236,31.9388141493644,90.830925062651,4.71307814630348,70.2652244513201,6.0,6.0,1.6770927906036404,1.56462013721466,76.1,63.37182431421322,75691.7672147427,100.0,92.7333333333333,76.55,89.82500000000002,100.0,1.44002974033356
CHE,2.00936198234558,39.9547282957949,0.6852948072654791,0.23628971095264598,7.8835389255372,39.269686220331764,2.04943490028381,29.9881397976664,9.344193226716019,10.81503263135331,11.3579413918961,79.766,4.2,4.1,12.0,69.8657292733295,71.370537264103,76.0841402218878,13.288054211667403,76.9417706240609,6.0,6.0,1.6201130151748702,1.7511883974075302,65.9,72.1713503788615,147626.903422793,100.0,88.4,82.63125,84.175,89.99999999999999,1.62134683132172
