Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
SDN,-1.41899406909943,16.86421588763381,1.7436947479353948,17.94053368141676,77.06872122115432,49.25837416315486,-1.53886485099792,0.0,0.0,0.65,0.791296226739295,24.6333333333333,72.69142781748643,12.0,20.16428443388161,5.226292321937367,76.3301862310558,1.7568697952623502,62.0550993193084,6.0,6.0,-1.5709011554718,-1.08521068096161,36.2433523276631,-3.042122487064181,5467.11196473317,33.4,57.933333333333294,61.5625,18.7666666666667,10.0,-1.42654263973236
SEN,-0.0072953277267515,8.644074531997148,1.3904455727151117,16.40404046009911,64.17841941105904,60.81587253170271,-0.059842012822627966,0.744159035096107,0.11000000000000001,3.75,13.1359954753694,49.22500000000001,74.54438347559194,12.0,15.365811972555102,26.8372976213396,38.0757439767509,7.6258371002595995,58.512958199710695,6.0,6.0,-0.2942171692848209,-0.32080376148223894,50.524794927837,0.5627880542007103,4504.53691027266,80.0,82.9666666666667,64.2375,49.225,64.99999999999999,0.23943346738815316
SGP,2.11823177337646,0.12803046468493,0.14112991929486712,11.376418753153748,59.20221881748915,50.0933025034391,2.28420281410217,55.2615580095711,33.7,32.85,8.94196288990235,71.5583333333333,84.43835514318529,12.0,77.3405287547789,80.65829496929659,53.6968301755528,40.5913541641854,56.1310139350834,6.0,6.0,2.20529913902283,1.83543491363525,72.1026995251566,-4.146455255337509,83096.1480510485,100.0,99.6666666666667,54.79375,78.2083333333333,75.0,-0.20388162136077895
SLB,0.0682966485619546,10.737455611561,2.13896911430595,30.4086334217875,64.6862461393291,52.1280639450685,-0.6969804763793952,10.423906566923462,0.46092658892646327,1.7549669989260255,5.49144020567955,14.8583333333333,76.96797647625154,12.0,9.529498031828888,8.272446783111922,26.5526837684064,70.5279538564393,49.1115427983706,6.0,6.0,-0.8326465487480158,-0.03650082647800472,48.6361007600373,-2.956986019447652,4043.15520721641,60.00000000000001,59.4,57.3,16.4583333333333,25.0,0.450046628713608
SLE,-0.3960556983947751,9.656601334054935,1.9990568990586346,18.0001124788714,69.05459458793764,53.86146675891971,-1.0632834434509302,0.0,0.0,0.7331874694673733,5.91966079744419,29.1083333333333,73.7710582706906,12.0,7.736773330656941,9.236412065989676,25.0394276197042,10.2728612346855,37.3473486984639,6.0,6.0,-0.904623210430145,-0.794501006603241,43.3938484317909,-2.5431174469943003,3423.92315011355,80.0,64.4666666666667,66.5,29.108333333333295,20.0,-0.09475396573543539
SLV,-0.577636420726776,1.57066790614131,1.14401002342201,12.4957445773118,27.6778501272936,53.2727770677377,-0.2612666189670561,6.37122274852995,0.3,5.3,10.7547898793991,44.53333333333331,76.868,13.0,16.8441986596241,19.1274927360563,49.07315708905569,1.12683504689784,43.7502973774316,6.0,7.0,-0.085243210196495,-0.777085423469543,61.4622335450273,-6.770141199425859,9663.869934413,70.0,79.3333333333333,68.21875,47.8333333333333,60.0,0.06970459967851635
SMR,1.26545393466949,61.1160411121777,-0.3880549875168601,10.8647277800431,33.1259842735066,34.4156312457785,1.7492413520813002,4.249199217071472,0.0,1.2900665695613336,11.202039228000256,50.930839624735306,77.42692551970417,11.0,40.554188825179814,33.565213993598455,78.9916805128727,2.51238947583998,96.96807412635651,5.0,6.0,0.5253105163574221,1.61518156528473,57.9141659016669,-6.92908513254935,57858.84211343984,50.0,58.0,28.34375,48.35265379825806,50.0,1.1196904182434102
SOM,-1.68913090229034,18.01818415517041,2.152451052527642,14.938299908394322,82.55439031783587,38.626668851703,-2.13161373138428,0.0,0.0,0.65,8.67498911576349,1.275,71.89139408610882,12.0,2.287523347571523,1.1574485861268697,80.948318378367,1.80336427954501,19.8554209652532,6.0,6.0,-1.95361256599426,-2.31254482269287,42.74566709679276,-5.175971291751991,1112.70936080696,60.00000000000001,43.7666666666667,56.6125,4.575,10.0,-1.83582139015198
SRB,-0.45147082209587097,7.56009785186367,1.4171183007051555,18.645562667080924,75.9528099355176,45.47310546313181,-0.04292435944080359,5.0539620306819195,1.53,4.17,23.2185049761719,71.8666666666667,70.358,11.0,46.7069490730589,25.3733456472863,76.1591829428774,2.08442866082476,63.9416194848694,4.0,7.0,0.08039635419845591,-0.12300560623407394,54.5312198459318,0.03499355612342532,16947.4301828385,100.0,72.8,81.29375,70.2166666666667,80.0,-0.12094949930906292
SSD,-1.93686974048615,20.117744901876037,1.4893717201940408,19.607435430394105,96.87459861686457,47.249534317722166,-2.31632089614868,0.0,0.0,0.65,8.77775607214951,10.6916666666667,68.23240122092037,12.0,2.124220730264045,2.762711773860799,10.159644232584,67.8000697601606,14.2842204166873,6.0,6.0,-2.01043677330017,-1.97192621231079,43.66575161064991,-3.851627848703941,1112.70936080696,20.0,43.0,53.88125,12.3916666666667,20.0,-1.81119692325592
